Janela Incremental,Temporada,Acurácia,F1-Score
15,2008-2009,0.6441,0.5047
15,2009-2010,0.6735,0.5421
15,2011-2012,0.6646,0.5307
15,2012-2013,0.6119,0.4646
15,2013-2014,0.6047,0.4557
15,2014-2015,0.5963,0.4455
15,2015-2016,0.5708,0.4149
15,2016-2017,0.5388,0.3773
15,2018-2019,0.6108,0.4633
15,2019-2020,0.5104,0.3450
15,2020-2021,0.5538,0.3947
15,2021-2022,0.6159,0.4695
15,2022-2023,0.5657,0.4087
15,2023-2024,0.5768,0.4220
15,2024-2025,0.5908,0.4388
