Janela Incremental,Temporada,Acurácia,F1-Score
15,2008-2009,0.7252,0.7189
15,2009-2010,0.6327,0.6056
15,2011-2012,0.6770,0.6699
15,2012-2013,0.6418,0.6286
15,2013-2014,0.6113,0.6010
15,2014-2015,0.6519,0.6349
15,2015-2016,0.5792,0.5783
15,2016-2017,0.6041,0.6000
15,2018-2019,0.6207,0.6159
15,2019-2020,0.6302,0.6302
15,2020-2021,0.6773,0.6733
15,2021-2022,0.6471,0.6332
15,2022-2023,0.6229,0.6229
15,2023-2024,0.6388,0.6253
15,2024-2025,0.5620,0.5455
