Janela,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
janela_01,0.68,-,0.67,-
janela_02,0.75,-,0.73,-
janela_03,0.69,-,0.68,-
janela_04,0.64,-,0.61,-
janela_05,0.67,-,0.65,-
janela_06,0.60,-,0.58,-
janela_07,0.59,-,0.58,-
janela_08,0.67,-,0.64,-
janela_09,0.67,-,0.65,-
janela_10,0.72,-,0.72,-
janela_11,0.71,-,0.69,-
janela_12,0.72,-,0.70,-
janela_13,0.68,-,0.66,-
janela_14,0.64,-,0.61,-
Média Geral,0.67,0.04,0.66,0.05
