Janela,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
janela_01,0.35,-,0.22,-
janela_02,0.74,-,0.74,-
janela_03,0.64,-,0.64,-
janela_04,0.62,-,0.58,-
janela_05,0.69,-,0.66,-
janela_06,0.66,-,0.64,-
janela_07,0.63,-,0.62,-
janela_08,0.70,-,0.69,-
janela_09,0.67,-,0.66,-
janela_10,0.74,-,0.74,-
janela_11,0.71,-,0.71,-
janela_12,0.71,-,0.71,-
janela_13,0.67,-,0.67,-
janela_14,0.63,-,0.60,-
Média Geral,0.65,0.09,0.63,0.12
