Janela,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
janela_01,0.68,-,0.55,-
janela_02,0.65,-,0.52,-
janela_03,0.62,-,0.47,-
janela_04,0.60,-,0.45,-
janela_05,0.60,-,0.45,-
janela_06,0.56,-,0.40,-
janela_07,0.54,-,0.38,-
janela_08,0.59,-,0.44,-
janela_09,0.51,-,0.34,-
janela_10,0.55,-,0.39,-
janela_11,0.60,-,0.45,-
janela_12,0.56,-,0.40,-
janela_13,0.57,-,0.41,-
janela_14,0.59,-,0.44,-
Média Geral,0.59,0.04,0.44,0.05
