Janela,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
janela_01,0.57,-,0.57,-
janela_02,0.57,-,0.57,-
janela_03,0.69,-,0.69,-
janela_04,0.52,-,0.51,-
janela_05,0.54,-,0.52,-
janela_06,0.61,-,0.61,-
janela_07,0.62,-,0.61,-
janela_08,0.54,-,0.52,-
janela_09,0.67,-,0.67,-
janela_10,0.71,-,0.70,-
janela_11,0.71,-,0.71,-
janela_12,0.67,-,0.65,-
janela_13,0.67,-,0.64,-
janela_14,0.60,-,0.53,-
Média Geral,0.62,0.06,0.61,0.07
