Janela,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
janela_01,0.68,-,0.67,-
janela_02,0.68,-,0.67,-
janela_03,0.71,-,0.70,-
janela_04,0.62,-,0.55,-
janela_05,0.67,-,0.64,-
janela_06,0.66,-,0.64,-
janela_07,0.63,-,0.63,-
janela_08,0.66,-,0.66,-
janela_09,0.68,-,0.67,-
janela_10,0.70,-,0.70,-
janela_11,0.68,-,0.68,-
janela_12,0.70,-,0.70,-
janela_13,0.67,-,0.66,-
janela_14,0.64,-,0.61,-
Média Geral,0.67,0.03,0.66,0.04
