Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada,F1_Score_Acumulado
1,1,Acerto,1.0,1.0
2,2,Acerto,1.0,1.0
3,3,Erro,0.6667,0.5333
4,4,Acerto,0.75,0.6429
5,5,Acerto,0.8,0.7111
6,6,Erro,0.6667,0.5333
7,7,Erro,0.5714,0.4156
8,8,Acerto,0.625,0.4808
9,9,Acerto,0.6667,0.5333
10,10,Acerto,0.7,0.5765
11,11,Acerto,0.7273,0.6124
12,12,Acerto,0.75,0.6429
13,13,Acerto,0.7692,0.6689
14,14,Acerto,0.7857,0.6914
15,15,Acerto,0.8,0.7111
16,16,Acerto,0.8125,0.7284
17,17,Acerto,0.8235,0.7438
18,18,Acerto,0.8333,0.7576
19,19,Acerto,0.8421,0.7699
20,20,Acerto,0.85,0.7811
21,21,Erro,0.8095,0.7243
22,22,Acerto,0.8182,0.7364
23,23,Acerto,0.8261,0.7474
24,24,Acerto,0.8333,0.7576
25,25,Erro,0.8,0.7111
26,26,Acerto,0.8077,0.7218
27,27,Erro,0.7778,0.6806
28,28,Acerto,0.7857,0.6914
29,29,Acerto,0.7931,0.7016
30,30,Acerto,0.8,0.7111
31,31,Acerto,0.8065,0.72
32,32,Erro,0.7812,0.6853
33,33,Erro,0.7576,0.6531
34,34,Acerto,0.7647,0.6627
35,35,Acerto,0.7714,0.6719
36,36,Erro,0.75,0.6429
37,37,Erro,0.7297,0.6157
38,38,Erro,0.7105,0.5903
39,39,Erro,0.6923,0.5664
40,40,Acerto,0.7,0.5765
41,41,Erro,0.6829,0.5543
42,42,Erro,0.6667,0.5333
43,43,Acerto,0.6744,0.5433
44,44,Erro,0.6591,0.5237
45,45,Erro,0.6444,0.5051
46,46,Acerto,0.6522,0.5149
47,47,Erro,0.6383,0.4974
48,48,Acerto,0.6458,0.5069
49,49,Acerto,0.6531,0.516
50,50,Erro,0.64,0.4995
51,51,Erro,0.6275,0.4838
52,52,Acerto,0.6346,0.4928
53,53,Erro,0.6226,0.4778
54,54,Erro,0.6111,0.4636
55,55,Acerto,0.6182,0.4723
56,56,Erro,0.6071,0.4587
57,57,Erro,0.5965,0.4457
58,58,Erro,0.5862,0.4333
59,59,Acerto,0.5932,0.4418
60,60,Acerto,0.6,0.45
61,61,Erro,0.5902,0.4381
62,62,Acerto,0.5968,0.4461
63,63,Acerto,0.6032,0.4539
64,64,Erro,0.5938,0.4424
65,65,Acerto,0.6,0.45
66,66,Erro,0.5909,0.439
67,67,Acerto,0.597,0.4464
68,68,Acerto,0.6029,0.4536
69,69,Erro,0.5942,0.443
70,70,Erro,0.5857,0.4327
71,71,Erro,0.5775,0.4228
72,72,Acerto,0.5833,0.4298
73,73,Acerto,0.589,0.4367
74,74,Acerto,0.5946,0.4434
75,75,Erro,0.5867,0.4338
76,76,Erro,0.5789,0.4246
77,77,Acerto,0.5844,0.4311
78,78,Acerto,0.5897,0.4376
79,79,Acerto,0.5949,0.4438
80,80,Acerto,0.6,0.45
81,81,Erro,0.5926,0.441
82,82,Erro,0.5854,0.4323
83,83,Erro,0.5783,0.4238
84,84,Acerto,0.5833,0.4298
85,85,Acerto,0.5882,0.4357
86,86,Erro,0.5814,0.4275
87,87,Erro,0.5747,0.4195
88,88,Erro,0.5682,0.4117
89,89,Acerto,0.573,0.4175
90,90,Acerto,0.5778,0.4232
91,91,Erro,0.5714,0.4156
92,92,Erro,0.5652,0.4082
93,93,Erro,0.5591,0.401
94,94,Acerto,0.5638,0.4066
95,95,Acerto,0.5684,0.412
96,96,Acerto,0.5729,0.4174
97,97,Erro,0.567,0.4103
98,98,Erro,0.5612,0.4035
99,99,Acerto,0.5657,0.4087
100,100,Acerto,0.57,0.4139
101,101,Acerto,0.5743,0.419
102,102,Erro,0.5686,0.4123
103,103,Erro,0.5631,0.4057
104,104,Erro,0.5577,0.3993
105,105,Acerto,0.5619,0.4043
106,106,Erro,0.5566,0.3981
107,107,Acerto,0.5607,0.4029
108,108,Acerto,0.5648,0.4077
109,109,Erro,0.5596,0.4016
110,110,Erro,0.5545,0.3956
111,111,Erro,0.5495,0.3898
112,112,Acerto,0.5536,0.3945
113,113,Acerto,0.5575,0.3991
114,114,Erro,0.5526,0.3934
115,115,Acerto,0.5565,0.398
116,116,Acerto,0.5603,0.4025
117,117,Erro,0.5556,0.3968
118,118,Erro,0.5508,0.3913
119,119,Acerto,0.5546,0.3957
120,120,Acerto,0.5583,0.4001
121,121,Erro,0.5537,0.3947
122,122,Erro,0.5492,0.3894
123,123,Acerto,0.5528,0.3936
124,124,Erro,0.5484,0.3884
125,125,Acerto,0.552,0.3927
126,126,Acerto,0.5556,0.3968
127,127,Acerto,0.5591,0.4009
128,128,Acerto,0.5625,0.405
129,129,Erro,0.5581,0.3999
130,130,Erro,0.5538,0.3948
131,131,Acerto,0.5573,0.3988
132,132,Acerto,0.5606,0.4028
133,133,Acerto,0.5639,0.4067
134,134,Acerto,0.5672,0.4105
135,135,Acerto,0.5704,0.4143
136,136,Acerto,0.5735,0.4181
137,137,Acerto,0.5766,0.4218
138,138,Acerto,0.5797,0.4255
139,139,Acerto,0.5827,0.4291
140,140,Acerto,0.5857,0.4327
141,141,Erro,0.5816,0.4277
142,142,Acerto,0.5845,0.4312
143,143,Erro,0.5804,0.4263
144,144,Acerto,0.5833,0.4298
145,145,Acerto,0.5862,0.4333
146,146,Erro,0.5822,0.4285
147,147,Acerto,0.585,0.4319
148,148,Acerto,0.5878,0.4353
149,149,Acerto,0.5906,0.4386
150,150,Erro,0.5867,0.4338
151,151,Erro,0.5828,0.4292
152,152,Acerto,0.5855,0.4325
153,153,Erro,0.5817,0.4279
154,154,Erro,0.5779,0.4233
155,155,Erro,0.5742,0.4189
156,156,Erro,0.5705,0.4145
157,157,Acerto,0.5732,0.4178
158,158,Acerto,0.5759,0.421
159,159,Erro,0.5723,0.4167
160,160,Acerto,0.575,0.4198
