Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Acerto,0.5
3,3,Acerto,0.6667
4,4,Erro,0.5
5,5,Acerto,0.6
6,6,Erro,0.5
7,7,Erro,0.4286
8,8,Acerto,0.5
9,9,Acerto,0.5556
10,10,Acerto,0.6
11,11,Acerto,0.6364
12,12,Erro,0.5833
13,13,Erro,0.5385
14,14,Acerto,0.5714
15,15,Erro,0.5333
16,16,Acerto,0.5625
17,17,Erro,0.5294
18,18,Acerto,0.5556
19,19,Erro,0.5263
20,20,Erro,0.5
21,21,Erro,0.4762
22,22,Erro,0.4545
23,23,Erro,0.4348
24,24,Erro,0.4167
25,25,Erro,0.4
26,26,Erro,0.3846
27,27,Erro,0.3704
28,28,Erro,0.3571
29,29,Erro,0.3448
30,30,Erro,0.3333
31,31,Erro,0.3226
32,32,Erro,0.3125
33,33,Acerto,0.3333
34,34,Erro,0.3235
35,35,Acerto,0.3429
36,36,Erro,0.3333
37,37,Erro,0.3243
38,38,Erro,0.3158
39,39,Erro,0.3077
40,40,Erro,0.3
41,41,Acerto,0.3171
42,42,Erro,0.3095
43,43,Erro,0.3023
44,44,Acerto,0.3182
45,45,Acerto,0.3333
46,46,Acerto,0.3478
47,47,Erro,0.3404
48,48,Acerto,0.3542
49,49,Acerto,0.3673
50,50,Acerto,0.38
51,51,Erro,0.3725
52,52,Acerto,0.3846
53,53,Erro,0.3774
54,54,Acerto,0.3889
55,55,Erro,0.3818
56,56,Acerto,0.3929
57,57,Acerto,0.4035
58,58,Erro,0.3966
59,59,Acerto,0.4068
60,60,Acerto,0.4167
61,61,Erro,0.4098
62,62,Erro,0.4032
63,63,Acerto,0.4127
64,64,Erro,0.4062
65,65,Acerto,0.4154
66,66,Acerto,0.4242
67,67,Acerto,0.4328
68,68,Erro,0.4265
69,69,Acerto,0.4348
70,70,Acerto,0.4429
71,71,Erro,0.4366
72,72,Erro,0.4306
73,73,Acerto,0.4384
74,74,Erro,0.4324
75,75,Acerto,0.44
76,76,Erro,0.4342
77,77,Acerto,0.4416
78,78,Erro,0.4359
79,79,Erro,0.4304
80,80,Erro,0.425
81,81,Erro,0.4198
82,82,Erro,0.4146
83,83,Erro,0.4096
84,84,Erro,0.4048
85,85,Erro,0.4
86,86,Erro,0.3953
87,87,Acerto,0.4023
88,88,Erro,0.3977
89,89,Acerto,0.4045
90,90,Acerto,0.4111
91,91,Erro,0.4066
92,92,Acerto,0.413
93,93,Erro,0.4086
94,94,Erro,0.4043
95,95,Erro,0.4
96,96,Acerto,0.4062
97,97,Erro,0.4021
98,98,Acerto,0.4082
99,99,Acerto,0.4141
100,100,Acerto,0.42
101,101,Acerto,0.4257
102,102,Erro,0.4216
103,103,Acerto,0.4272
104,104,Acerto,0.4327
105,105,Erro,0.4286
106,106,Erro,0.4245
107,107,Erro,0.4206
108,108,Acerto,0.4259
109,109,Erro,0.422
110,110,Erro,0.4182
111,111,Acerto,0.4234
