Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada,F1_Score_Acumulado
1,1,Acerto,1.0,1.0
2,2,Erro,0.5,0.3333
3,3,Acerto,0.6667,0.5333
4,4,Acerto,0.75,0.6429
5,5,Acerto,0.8,0.7111
6,6,Erro,0.6667,0.5333
7,7,Acerto,0.7143,0.5952
8,8,Erro,0.625,0.4808
9,9,Acerto,0.6667,0.5333
10,10,Erro,0.6,0.45
11,11,Acerto,0.6364,0.4949
12,12,Acerto,0.6667,0.5333
13,13,Erro,0.6154,0.4689
14,14,Acerto,0.6429,0.5031
15,15,Acerto,0.6667,0.5333
16,16,Erro,0.625,0.4808
17,17,Erro,0.5882,0.4357
18,18,Erro,0.5556,0.3968
19,19,Acerto,0.5789,0.4246
20,20,Acerto,0.6,0.45
21,21,Acerto,0.619,0.4734
22,22,Acerto,0.6364,0.4949
23,23,Erro,0.6087,0.4606
24,24,Erro,0.5833,0.4298
25,25,Acerto,0.6,0.45
26,26,Acerto,0.6154,0.4689
27,27,Erro,0.5926,0.441
28,28,Erro,0.5714,0.4156
29,29,Erro,0.5517,0.3923
30,30,Acerto,0.5667,0.4099
31,31,Acerto,0.5806,0.4266
32,32,Acerto,0.5938,0.4424
33,33,Erro,0.5758,0.4207
34,34,Acerto,0.5882,0.4357
35,35,Acerto,0.6,0.45
36,36,Erro,0.5833,0.4298
37,37,Acerto,0.5946,0.4434
38,38,Acerto,0.6053,0.4564
39,39,Acerto,0.6154,0.4689
40,40,Acerto,0.625,0.4808
41,41,Acerto,0.6341,0.4922
42,42,Acerto,0.6429,0.5031
43,43,Acerto,0.6512,0.5136
44,44,Acerto,0.6591,0.5237
45,45,Erro,0.6444,0.5051
46,46,Erro,0.6304,0.4875
47,47,Erro,0.617,0.4709
48,48,Acerto,0.625,0.4808
49,49,Acerto,0.6327,0.4903
50,50,Acerto,0.64,0.4995
51,51,Erro,0.6275,0.4838
52,52,Erro,0.6154,0.4689
53,53,Erro,0.6038,0.4546
54,54,Acerto,0.6111,0.4636
55,55,Acerto,0.6182,0.4723
56,56,Acerto,0.625,0.4808
57,57,Acerto,0.6316,0.489
58,58,Acerto,0.6379,0.4969
59,59,Acerto,0.6441,0.5046
60,60,Erro,0.6333,0.4912
61,61,Acerto,0.6393,0.4987
62,62,Acerto,0.6452,0.506
63,63,Acerto,0.6508,0.5131
64,64,Erro,0.6406,0.5003
65,65,Erro,0.6308,0.488
66,66,Acerto,0.6364,0.4949
67,67,Erro,0.6269,0.4831
68,68,Acerto,0.6324,0.4899
69,69,Acerto,0.6377,0.4966
70,70,Erro,0.6286,0.4852
71,71,Erro,0.6197,0.4742
72,72,Acerto,0.625,0.4808
73,73,Erro,0.6164,0.4702
74,74,Acerto,0.6216,0.4766
75,75,Acerto,0.6267,0.4828
76,76,Acerto,0.6316,0.489
77,77,Acerto,0.6364,0.4949
78,78,Acerto,0.641,0.5008
79,79,Erro,0.6329,0.4906
80,80,Erro,0.625,0.4808
81,81,Acerto,0.6296,0.4865
82,82,Erro,0.622,0.477
83,83,Acerto,0.6265,0.4826
84,84,Acerto,0.631,0.4882
85,85,Erro,0.6235,0.4789
86,86,Acerto,0.6279,0.4844
87,87,Erro,0.6207,0.4754
88,88,Acerto,0.625,0.4808
89,89,Acerto,0.6292,0.486
90,90,Erro,0.6222,0.4773
91,91,Acerto,0.6264,0.4825
92,92,Acerto,0.6304,0.4875
93,93,Acerto,0.6344,0.4925
94,94,Erro,0.6277,0.4841
95,95,Acerto,0.6316,0.489
96,96,Erro,0.625,0.4808
97,97,Erro,0.6186,0.4728
98,98,Acerto,0.6224,0.4776
99,99,Erro,0.6162,0.4698
100,100,Erro,0.61,0.4622
101,101,Erro,0.604,0.4548
102,102,Acerto,0.6078,0.4596
103,103,Acerto,0.6117,0.4643
104,104,Acerto,0.6154,0.4689
105,105,Acerto,0.619,0.4734
106,106,Acerto,0.6226,0.4778
107,107,Erro,0.6168,0.4706
108,108,Acerto,0.6204,0.475
109,109,Acerto,0.6239,0.4793
110,110,Erro,0.6182,0.4723
111,111,Erro,0.6126,0.4654
112,112,Erro,0.6071,0.4587
113,113,Erro,0.6018,0.4522
114,114,Acerto,0.6053,0.4564
115,115,Erro,0.6,0.45
116,116,Acerto,0.6034,0.4542
117,117,Acerto,0.6068,0.4584
118,118,Erro,0.6017,0.4521
119,119,Acerto,0.605,0.4562
120,120,Erro,0.6,0.45
121,121,Acerto,0.6033,0.454
122,122,Erro,0.5984,0.448
123,123,Erro,0.5935,0.4421
124,124,Acerto,0.5968,0.4461
125,125,Acerto,0.6,0.45
126,126,Erro,0.5952,0.4442
127,127,Erro,0.5906,0.4385
128,128,Erro,0.5859,0.433
129,129,Acerto,0.5891,0.4368
130,130,Erro,0.5846,0.4314
131,131,Erro,0.5802,0.426
132,132,Acerto,0.5833,0.4298
133,133,Acerto,0.5865,0.4336
134,134,Acerto,0.5896,0.4373
135,135,Acerto,0.5926,0.441
136,136,Erro,0.5882,0.4357
137,137,Acerto,0.5912,0.4394
138,138,Erro,0.587,0.4342
139,139,Erro,0.5827,0.4291
140,140,Erro,0.5786,0.4241
141,141,Erro,0.5745,0.4192
142,142,Erro,0.5704,0.4144
143,143,Erro,0.5664,0.4097
144,144,Acerto,0.5694,0.4132
145,145,Acerto,0.5724,0.4168
146,146,Erro,0.5685,0.4121
147,147,Acerto,0.5714,0.4156
148,148,Erro,0.5676,0.411
149,149,Erro,0.5638,0.4065
150,150,Erro,0.56,0.4021
151,151,Erro,0.5563,0.3977
152,152,Acerto,0.5592,0.4011
153,153,Acerto,0.5621,0.4045
154,154,Erro,0.5584,0.4002
155,155,Erro,0.5548,0.396
156,156,Acerto,0.5577,0.3993
157,157,Acerto,0.5605,0.4027
158,158,Acerto,0.5633,0.4059
159,159,Erro,0.5597,0.4018
160,160,Acerto,0.5625,0.405
161,161,Erro,0.559,0.4009
162,162,Acerto,0.5617,0.4041
163,163,Erro,0.5583,0.4
164,164,Erro,0.5549,0.396
165,165,Acerto,0.5576,0.3992
166,166,Erro,0.5542,0.3953
167,167,Erro,0.5509,0.3914
168,168,Acerto,0.5536,0.3945
169,169,Erro,0.5503,0.3907
170,170,Acerto,0.5529,0.3938
171,171,Erro,0.5497,0.39
172,172,Acerto,0.5523,0.393
173,173,Erro,0.5491,0.3893
174,174,Erro,0.546,0.3856
175,175,Acerto,0.5486,0.3887
176,176,Acerto,0.5511,0.3917
177,177,Erro,0.548,0.388
178,178,Acerto,0.5506,0.391
179,179,Erro,0.5475,0.3874
180,180,Acerto,0.55,0.3903
181,181,Acerto,0.5525,0.3932
182,182,Erro,0.5495,0.3897
183,183,Erro,0.5464,0.3862
184,184,Acerto,0.5489,0.3891
185,185,Erro,0.5459,0.3856
186,186,Acerto,0.5484,0.3884
187,187,Acerto,0.5508,0.3913
188,188,Erro,0.5479,0.3878
189,189,Acerto,0.5503,0.3906
190,190,Acerto,0.5526,0.3934
191,191,Acerto,0.555,0.3961
192,192,Erro,0.5521,0.3928
193,193,Erro,0.5492,0.3894
194,194,Acerto,0.5515,0.3921
195,195,Erro,0.5487,0.3888
196,196,Acerto,0.551,0.3915
197,197,Acerto,0.5533,0.3942
198,198,Acerto,0.5556,0.3968
199,199,Erro,0.5528,0.3936
200,200,Acerto,0.555,0.3962
201,201,Acerto,0.5572,0.3988
202,202,Acerto,0.5594,0.4014
203,203,Erro,0.5567,0.3981
204,204,Acerto,0.5588,0.4007
205,205,Acerto,0.561,0.4032
206,206,Acerto,0.5631,0.4057
207,207,Acerto,0.5652,0.4082
208,208,Acerto,0.5673,0.4107
209,209,Erro,0.5646,0.4075
210,210,Erro,0.5619,0.4043
211,211,Acerto,0.564,0.4067
212,212,Acerto,0.566,0.4092
213,213,Acerto,0.5681,0.4116
214,214,Acerto,0.5701,0.414
215,215,Erro,0.5674,0.4108
216,216,Erro,0.5648,0.4077
217,217,Acerto,0.5668,0.4101
218,218,Acerto,0.5688,0.4125
219,219,Erro,0.5662,0.4094
220,220,Acerto,0.5682,0.4117
221,221,Acerto,0.5701,0.414
222,222,Erro,0.5676,0.411
223,223,Acerto,0.5695,0.4133
224,224,Erro,0.567,0.4103
225,225,Acerto,0.5689,0.4126
226,226,Acerto,0.5708,0.4148
227,227,Erro,0.5683,0.4118
228,228,Acerto,0.5702,0.4141
229,229,Erro,0.5677,0.4111
230,230,Acerto,0.5696,0.4134
231,231,Acerto,0.5714,0.4156
232,232,Erro,0.569,0.4127
233,233,Acerto,0.5708,0.4149
234,234,Erro,0.5684,0.412
235,235,Acerto,0.5702,0.4141
236,236,Erro,0.5678,0.4113
237,237,Erro,0.5654,0.4084
238,238,Acerto,0.5672,0.4106
239,239,Acerto,0.569,0.4127
240,240,Acerto,0.5708,0.4149
