Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada,F1_Score_Acumulado
162,162,Acerto,0.5741,0.4187
163,163,Erro,0.5706,0.4145
164,164,Acerto,0.5732,0.4177
165,165,Erro,0.5697,0.4135
166,166,Erro,0.5663,0.4095
167,167,Acerto,0.5689,0.4125
168,168,Acerto,0.5714,0.4156
169,169,Acerto,0.574,0.4186
170,170,Erro,0.5706,0.4146
171,171,Acerto,0.5731,0.4176
172,172,Acerto,0.5756,0.4205
173,173,Erro,0.5723,0.4166
174,174,Acerto,0.5747,0.4195
175,175,Erro,0.5714,0.4156
176,176,Erro,0.5682,0.4117
177,177,Acerto,0.5706,0.4146
178,178,Acerto,0.573,0.4175
179,179,Erro,0.5698,0.4137
180,180,Acerto,0.5722,0.4165
181,181,Erro,0.5691,0.4128
182,182,Erro,0.5659,0.4091
183,183,Erro,0.5628,0.4054
184,184,Erro,0.5598,0.4018
185,185,Acerto,0.5622,0.4046
186,186,Acerto,0.5645,0.4074
187,187,Acerto,0.5668,0.4101
188,188,Acerto,0.5691,0.4129
189,189,Acerto,0.5714,0.4156
190,190,Acerto,0.5737,0.4183
191,191,Acerto,0.5759,0.4209
192,192,Acerto,0.5781,0.4236
193,193,Acerto,0.5803,0.4262
194,194,Acerto,0.5825,0.4288
195,195,Acerto,0.5846,0.4314
196,196,Acerto,0.5867,0.4339
197,197,Erro,0.5838,0.4303
198,198,Acerto,0.5859,0.4329
199,199,Erro,0.5829,0.4293
200,200,Erro,0.58,0.4258
201,201,Erro,0.5771,0.4224
202,202,Erro,0.5743,0.419
203,203,Erro,0.5714,0.4156
204,204,Acerto,0.5735,0.4181
205,205,Erro,0.5707,0.4148
206,206,Erro,0.568,0.4115
207,207,Acerto,0.57,0.4139
208,208,Acerto,0.5721,0.4164
209,209,Erro,0.5694,0.4131
210,210,Acerto,0.5714,0.4156
211,211,Acerto,0.5735,0.418
212,212,Erro,0.5708,0.4148
213,213,Erro,0.5681,0.4116
214,214,Erro,0.5654,0.4085
215,215,Acerto,0.5674,0.4108
216,216,Acerto,0.5694,0.4132
217,217,Acerto,0.5714,0.4156
218,218,Erro,0.5688,0.4125
219,219,Erro,0.5662,0.4094
220,220,Acerto,0.5682,0.4117
221,221,Acerto,0.5701,0.414
222,222,Acerto,0.5721,0.4164
223,223,Acerto,0.574,0.4186
224,224,Erro,0.5714,0.4156
225,225,Erro,0.5689,0.4126
226,226,Erro,0.5664,0.4096
227,227,Erro,0.5639,0.4066
228,228,Acerto,0.5658,0.4089
229,229,Acerto,0.5677,0.4111
230,230,Erro,0.5652,0.4082
231,231,Acerto,0.5671,0.4104
232,232,Acerto,0.569,0.4127
233,233,Acerto,0.5708,0.4149
234,234,Erro,0.5684,0.412
235,235,Erro,0.566,0.4091
236,236,Acerto,0.5678,0.4113
237,237,Erro,0.5654,0.4084
238,238,Acerto,0.5672,0.4106
239,239,Acerto,0.569,0.4127
240,240,Acerto,0.5708,0.4149
241,241,Erro,0.5685,0.4121
242,242,Acerto,0.5702,0.4142
243,243,Acerto,0.572,0.4163
244,244,Erro,0.5697,0.4135
245,245,Acerto,0.5714,0.4156
246,246,Erro,0.5691,0.4128
247,247,Erro,0.5668,0.4101
248,248,Erro,0.5645,0.4074
249,249,Acerto,0.5663,0.4095
250,250,Acerto,0.568,0.4115
251,251,Acerto,0.5697,0.4136
252,252,Acerto,0.5714,0.4156
253,253,Erro,0.5692,0.4129
254,254,Erro,0.5669,0.4102
255,255,Erro,0.5647,0.4076
256,256,Erro,0.5625,0.405
257,257,Acerto,0.5642,0.407
258,258,Acerto,0.5659,0.409
259,259,Acerto,0.5676,0.411
260,260,Acerto,0.5692,0.413
261,261,Acerto,0.5709,0.4149
262,262,Acerto,0.5725,0.4169
263,263,Acerto,0.5741,0.4188
264,264,Acerto,0.5758,0.4207
265,265,Acerto,0.5774,0.4227
266,266,Acerto,0.5789,0.4246
267,267,Erro,0.5768,0.422
268,268,Acerto,0.5784,0.4239
269,269,Acerto,0.5799,0.4257
270,270,Acerto,0.5815,0.4276
271,271,Acerto,0.583,0.4295
272,272,Erro,0.5809,0.4269
273,273,Acerto,0.5824,0.4287
274,274,Acerto,0.5839,0.4306
275,275,Acerto,0.5855,0.4324
276,276,Acerto,0.587,0.4342
277,277,Erro,0.5848,0.4316
278,278,Erro,0.5827,0.4291
279,279,Acerto,0.5842,0.4309
280,280,Acerto,0.5857,0.4327
281,281,Erro,0.5836,0.4302
282,282,Erro,0.5816,0.4277
283,283,Erro,0.5795,0.4252
284,284,Acerto,0.581,0.427
285,285,Acerto,0.5825,0.4288
286,286,Acerto,0.5839,0.4305
287,287,Erro,0.5819,0.4281
288,288,Acerto,0.5833,0.4298
289,289,Acerto,0.5848,0.4316
290,290,Erro,0.5828,0.4291
291,291,Acerto,0.5842,0.4309
292,292,Erro,0.5822,0.4285
293,293,Acerto,0.5836,0.4302
294,294,Acerto,0.585,0.4319
295,295,Erro,0.5831,0.4295
296,296,Acerto,0.5845,0.4312
297,297,Erro,0.5825,0.4288
298,298,Acerto,0.5839,0.4305
299,299,Acerto,0.5853,0.4322
300,300,Acerto,0.5867,0.4338
301,301,Acerto,0.588,0.4355
302,302,Acerto,0.5894,0.4371
303,303,Acerto,0.5908,0.4388
304,304,Erro,0.5888,0.4364
305,305,Acerto,0.5902,0.4381
306,306,Erro,0.5882,0.4357
307,307,Acerto,0.5896,0.4373
308,308,Acerto,0.5909,0.439
309,309,Erro,0.589,0.4366
310,310,Erro,0.5871,0.4344
311,311,Erro,0.5852,0.4321
312,312,Acerto,0.5865,0.4337
313,313,Acerto,0.5879,0.4353
314,314,Acerto,0.5892,0.4369
315,315,Erro,0.5873,0.4346
316,316,Erro,0.5854,0.4324
317,317,Acerto,0.5868,0.4339
318,318,Erro,0.5849,0.4317
319,319,Acerto,0.5862,0.4333
320,320,Acerto,0.5875,0.4348
321,321,Erro,0.5857,0.4326
322,322,Erro,0.5839,0.4304
323,323,Erro,0.582,0.4283
324,324,Erro,0.5802,0.4261
325,325,Erro,0.5785,0.424
326,326,Acerto,0.5798,0.4255
327,327,Erro,0.578,0.4234
328,328,Erro,0.5762,0.4213
329,329,Erro,0.5745,0.4192
330,330,Acerto,0.5758,0.4207
331,331,Erro,0.574,0.4187
332,332,Erro,0.5723,0.4166
333,333,Erro,0.5706,0.4146
334,334,Erro,0.5689,0.4125
335,335,Acerto,0.5701,0.4141
336,336,Acerto,0.5714,0.4156
337,337,Acerto,0.5727,0.4171
338,338,Acerto,0.574,0.4186
339,339,Erro,0.5723,0.4166
340,340,Acerto,0.5735,0.4181
341,341,Acerto,0.5748,0.4196
342,342,Acerto,0.576,0.4211
343,343,Acerto,0.5773,0.4225
344,344,Acerto,0.5785,0.424
345,345,Acerto,0.5797,0.4255
346,346,Acerto,0.5809,0.4269
347,347,Acerto,0.5821,0.4284
348,348,Erro,0.5805,0.4264
349,349,Acerto,0.5817,0.4278
350,350,Erro,0.58,0.4258
351,351,Acerto,0.5812,0.4273
352,352,Erro,0.5795,0.4253
353,353,Acerto,0.5807,0.4267
354,354,Erro,0.5791,0.4247
355,355,Acerto,0.5803,0.4262
356,356,Acerto,0.5815,0.4276
357,357,Acerto,0.5826,0.429
358,358,Acerto,0.5838,0.4304
359,359,Erro,0.5822,0.4284
360,360,Acerto,0.5833,0.4298
361,361,Acerto,0.5845,0.4312
362,362,Acerto,0.5856,0.4326
363,363,Erro,0.584,0.4307
364,364,Erro,0.5824,0.4287
365,365,Erro,0.5808,0.4268
366,366,Erro,0.5792,0.4249
367,367,Acerto,0.5804,0.4263
368,368,Erro,0.5788,0.4244
369,369,Erro,0.5772,0.4225
370,370,Acerto,0.5784,0.4239
371,371,Erro,0.5768,0.422
