Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada,F1_Score_Acumulado
1,1,Acerto,1.0,1.0
2,2,Acerto,1.0,1.0
3,3,Erro,0.6667,0.5333
4,4,Erro,0.5,0.3333
5,5,Acerto,0.6,0.45
6,6,Erro,0.5,0.3333
7,7,Acerto,0.5714,0.4156
8,8,Acerto,0.625,0.4808
9,9,Acerto,0.6667,0.5333
10,10,Erro,0.6,0.45
11,11,Acerto,0.6364,0.4949
12,12,Acerto,0.6667,0.5333
13,13,Erro,0.6154,0.4689
14,14,Erro,0.5714,0.4156
15,15,Acerto,0.6,0.45
16,16,Acerto,0.625,0.4808
17,17,Acerto,0.6471,0.5084
18,18,Erro,0.6111,0.4636
19,19,Acerto,0.6316,0.489
20,20,Acerto,0.65,0.5121
21,21,Acerto,0.6667,0.5333
22,22,Erro,0.6364,0.4949
23,23,Erro,0.6087,0.4606
24,24,Acerto,0.625,0.4808
25,25,Erro,0.6,0.45
26,26,Acerto,0.6154,0.4689
27,27,Erro,0.5926,0.441
28,28,Erro,0.5714,0.4156
29,29,Erro,0.5517,0.3923
30,30,Erro,0.5333,0.371
31,31,Erro,0.5161,0.3514
32,32,Erro,0.5,0.3333
33,33,Acerto,0.5152,0.3503
34,34,Acerto,0.5294,0.3665
35,35,Acerto,0.5429,0.382
36,36,Erro,0.5278,0.3646
37,37,Acerto,0.5405,0.3793
38,38,Acerto,0.5526,0.3934
39,39,Acerto,0.5641,0.4069
40,40,Acerto,0.575,0.4198
41,41,Acerto,0.5854,0.4323
42,42,Erro,0.5714,0.4156
43,43,Acerto,0.5814,0.4275
44,44,Acerto,0.5909,0.439
45,45,Acerto,0.6,0.45
46,46,Acerto,0.6087,0.4606
47,47,Erro,0.5957,0.4448
48,48,Erro,0.5833,0.4298
49,49,Erro,0.5714,0.4156
50,50,Acerto,0.58,0.4258
51,51,Erro,0.5686,0.4123
52,52,Acerto,0.5769,0.4221
53,53,Acerto,0.5849,0.4317
54,54,Acerto,0.5926,0.441
55,55,Acerto,0.6,0.45
56,56,Acerto,0.6071,0.4587
57,57,Acerto,0.614,0.4672
58,58,Acerto,0.6207,0.4754
59,59,Acerto,0.6271,0.4834
60,60,Acerto,0.6333,0.4912
61,61,Acerto,0.6393,0.4987
62,62,Acerto,0.6452,0.506
63,63,Erro,0.6349,0.4931
64,64,Erro,0.625,0.4808
65,65,Acerto,0.6308,0.488
66,66,Acerto,0.6364,0.4949
67,67,Acerto,0.6418,0.5018
68,68,Acerto,0.6471,0.5084
69,69,Erro,0.6377,0.4966
70,70,Erro,0.6286,0.4852
71,71,Acerto,0.6338,0.4917
72,72,Acerto,0.6389,0.4981
73,73,Acerto,0.6438,0.5043
74,74,Erro,0.6351,0.4934
75,75,Erro,0.6267,0.4828
76,76,Acerto,0.6316,0.489
77,77,Acerto,0.6364,0.4949
78,78,Erro,0.6282,0.4848
79,79,Acerto,0.6329,0.4906
80,80,Acerto,0.6375,0.4964
81,81,Erro,0.6296,0.4865
82,82,Erro,0.622,0.477
83,83,Acerto,0.6265,0.4826
84,84,Erro,0.619,0.4734
85,85,Acerto,0.6235,0.4789
86,86,Erro,0.6163,0.47
87,87,Acerto,0.6207,0.4754
88,88,Erro,0.6136,0.4667
89,89,Erro,0.6067,0.4582
90,90,Acerto,0.6111,0.4636
91,91,Erro,0.6044,0.4554
92,92,Erro,0.5978,0.4474
93,93,Erro,0.5914,0.4396
94,94,Acerto,0.5957,0.4448
95,95,Erro,0.5895,0.4372
96,96,Erro,0.5833,0.4298
97,97,Acerto,0.5876,0.435
98,98,Acerto,0.5918,0.4401
99,99,Acerto,0.596,0.4451
100,100,Erro,0.59,0.4379
101,101,Acerto,0.5941,0.4428
102,102,Erro,0.5882,0.4357
103,103,Acerto,0.5922,0.4406
104,104,Acerto,0.5962,0.4453
105,105,Acerto,0.6,0.45
106,106,Erro,0.5943,0.4431
107,107,Erro,0.5888,0.4364
108,108,Acerto,0.5926,0.441
109,109,Acerto,0.5963,0.4455
110,110,Acerto,0.6,0.45
111,111,Acerto,0.6036,0.4544
112,112,Erro,0.5982,0.4478
113,113,Acerto,0.6018,0.4522
114,114,Erro,0.5965,0.4457
115,115,Erro,0.5913,0.4394
116,116,Acerto,0.5948,0.4437
117,117,Acerto,0.5983,0.4479
118,118,Acerto,0.6017,0.4521
119,119,Erro,0.5966,0.4459
120,120,Erro,0.5917,0.4399
121,121,Acerto,0.595,0.444
122,122,Erro,0.5902,0.4381
123,123,Erro,0.5854,0.4323
124,124,Acerto,0.5887,0.4363
125,125,Erro,0.584,0.4306
126,126,Erro,0.5794,0.4251
127,127,Acerto,0.5827,0.429
128,128,Acerto,0.5859,0.433
129,129,Acerto,0.5891,0.4368
130,130,Acerto,0.5923,0.4407
131,131,Erro,0.5878,0.4352
132,132,Acerto,0.5909,0.439
133,133,Erro,0.5865,0.4336
134,134,Erro,0.5821,0.4283
135,135,Acerto,0.5852,0.4321
136,136,Acerto,0.5882,0.4357
137,137,Acerto,0.5912,0.4394
138,138,Acerto,0.5942,0.443
139,139,Acerto,0.5971,0.4465
140,140,Erro,0.5929,0.4413
141,141,Erro,0.5887,0.4362
142,142,Acerto,0.5915,0.4397
143,143,Acerto,0.5944,0.4432
144,144,Acerto,0.5972,0.4466
145,145,Erro,0.5931,0.4416
146,146,Acerto,0.5959,0.445
147,147,Acerto,0.5986,0.4483
148,148,Acerto,0.6014,0.4516
149,149,Acerto,0.604,0.4549
150,150,Erro,0.6,0.45
151,151,Erro,0.596,0.4452
152,152,Erro,0.5921,0.4404
153,153,Erro,0.5882,0.4357
154,154,Acerto,0.5909,0.439
155,155,Erro,0.5871,0.4344
156,156,Erro,0.5833,0.4298
157,157,Erro,0.5796,0.4254
158,158,Erro,0.5759,0.421
159,159,Erro,0.5723,0.4167
160,160,Erro,0.5687,0.4124
161,161,Acerto,0.5714,0.4156
