Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Erro,0.3333
4,4,Acerto,0.5
5,5,Erro,0.4
6,6,Acerto,0.5
7,7,Acerto,0.5714
8,8,Erro,0.5
9,9,Erro,0.4444
10,10,Erro,0.4
11,11,Erro,0.3636
12,12,Erro,0.3333
13,13,Acerto,0.3846
14,14,Erro,0.3571
15,15,Erro,0.3333
16,16,Erro,0.3125
17,17,Acerto,0.3529
18,18,Acerto,0.3889
19,19,Acerto,0.4211
20,20,Erro,0.4
21,21,Acerto,0.4286
22,22,Acerto,0.4545
23,23,Erro,0.4348
24,24,Erro,0.4167
25,25,Erro,0.4
26,26,Erro,0.3846
27,27,Erro,0.3704
28,28,Acerto,0.3929
29,29,Erro,0.3793
30,30,Erro,0.3667
31,31,Acerto,0.3871
32,32,Acerto,0.4062
33,33,Acerto,0.4242
34,34,Acerto,0.4412
35,35,Erro,0.4286
36,36,Acerto,0.4444
37,37,Erro,0.4324
38,38,Erro,0.4211
39,39,Acerto,0.4359
40,40,Erro,0.425
41,41,Erro,0.4146
42,42,Acerto,0.4286
43,43,Erro,0.4186
44,44,Acerto,0.4318
45,45,Acerto,0.4444
46,46,Acerto,0.4565
47,47,Erro,0.4468
48,48,Acerto,0.4583
49,49,Erro,0.449
50,50,Erro,0.44
51,51,Erro,0.4314
52,52,Erro,0.4231
53,53,Erro,0.4151
54,54,Erro,0.4074
55,55,Acerto,0.4182
56,56,Erro,0.4107
57,57,Acerto,0.4211
58,58,Acerto,0.431
59,59,Erro,0.4237
60,60,Acerto,0.4333
61,61,Acerto,0.4426
62,62,Erro,0.4355
63,63,Acerto,0.4444
64,64,Erro,0.4375
65,65,Erro,0.4308
66,66,Acerto,0.4394
67,67,Acerto,0.4478
68,68,Acerto,0.4559
69,69,Erro,0.4493
70,70,Erro,0.4429
71,71,Acerto,0.4507
72,72,Erro,0.4444
73,73,Acerto,0.4521
74,74,Erro,0.4459
75,75,Erro,0.44
76,76,Acerto,0.4474
77,77,Acerto,0.4545
78,78,Erro,0.4487
79,79,Erro,0.443
80,80,Erro,0.4375
81,81,Erro,0.4321
82,82,Acerto,0.439
83,83,Acerto,0.4458
84,84,Erro,0.4405
85,85,Acerto,0.4471
86,86,Erro,0.4419
87,87,Erro,0.4368
88,88,Acerto,0.4432
89,89,Erro,0.4382
90,90,Erro,0.4333
91,91,Acerto,0.4396
92,92,Erro,0.4348
93,93,Acerto,0.4409
94,94,Acerto,0.4468
95,95,Erro,0.4421
96,96,Acerto,0.4479
97,97,Erro,0.4433
98,98,Erro,0.4388
99,99,Erro,0.4343
100,100,Erro,0.43
101,101,Erro,0.4257
102,102,Acerto,0.4314
103,103,Acerto,0.4369
104,104,Acerto,0.4423
105,105,Acerto,0.4476
106,106,Acerto,0.4528
107,107,Acerto,0.4579
108,108,Acerto,0.463
109,109,Erro,0.4587
110,110,Acerto,0.4636
111,111,Acerto,0.4685
112,112,Erro,0.4643
113,113,Erro,0.4602
114,114,Acerto,0.4649
115,115,Erro,0.4609
116,116,Erro,0.4569
117,117,Acerto,0.4615
118,118,Acerto,0.4661
119,119,Erro,0.4622
120,120,Acerto,0.4667
121,121,Acerto,0.4711
122,122,Erro,0.4672
123,123,Acerto,0.4715
124,124,Erro,0.4677
125,125,Acerto,0.472
126,126,Acerto,0.4762
127,127,Erro,0.4724
128,128,Acerto,0.4766
129,129,Acerto,0.4806
130,130,Erro,0.4769
131,131,Erro,0.4733
132,132,Acerto,0.4773
133,133,Erro,0.4737
134,134,Acerto,0.4776
135,135,Acerto,0.4815
136,136,Acerto,0.4853
137,137,Acerto,0.4891
138,138,Erro,0.4855
139,139,Acerto,0.4892
140,140,Acerto,0.4929
141,141,Acerto,0.4965
142,142,Erro,0.493
143,143,Erro,0.4895
144,144,Acerto,0.4931
145,145,Acerto,0.4966
146,146,Erro,0.4932
147,147,Erro,0.4898
148,148,Erro,0.4865
149,149,Erro,0.4832
150,150,Erro,0.48
151,151,Acerto,0.4834
152,152,Acerto,0.4868
153,153,Erro,0.4837
154,154,Acerto,0.487
155,155,Erro,0.4839
156,156,Erro,0.4808
157,157,Erro,0.4777
158,158,Erro,0.4747
159,159,Erro,0.4717
160,160,Acerto,0.475
161,161,Acerto,0.4783
162,162,Acerto,0.4815
163,163,Acerto,0.4847
164,164,Acerto,0.4878
165,165,Acerto,0.4909
166,166,Erro,0.488
167,167,Acerto,0.491
168,168,Acerto,0.494
169,169,Acerto,0.497
170,170,Erro,0.4941
171,171,Acerto,0.4971
172,172,Acerto,0.5
173,173,Erro,0.4971
174,174,Acerto,0.5
175,175,Erro,0.4971
176,176,Erro,0.4943
177,177,Acerto,0.4972
178,178,Acerto,0.5
179,179,Acerto,0.5028
180,180,Acerto,0.5056
181,181,Erro,0.5028
182,182,Acerto,0.5055
183,183,Acerto,0.5082
184,184,Erro,0.5054
185,185,Acerto,0.5081
186,186,Acerto,0.5108
187,187,Erro,0.508
188,188,Acerto,0.5106
189,189,Acerto,0.5132
190,190,Erro,0.5105
191,191,Acerto,0.5131
192,192,Erro,0.5104
