Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada,F1_Score_Acumulado
1,1,Erro,0.0,0.0
2,2,Acerto,0.5,0.3333
3,3,Acerto,0.6667,0.5333
4,4,Acerto,0.75,0.6429
5,5,Acerto,0.8,0.7111
6,6,Erro,0.6667,0.5333
7,7,Acerto,0.7143,0.5952
8,8,Acerto,0.75,0.6429
9,9,Erro,0.6667,0.5333
10,10,Erro,0.6,0.45
11,11,Erro,0.5455,0.385
12,12,Acerto,0.5833,0.4298
13,13,Acerto,0.6154,0.4689
14,14,Acerto,0.6429,0.5031
15,15,Erro,0.6,0.45
16,16,Erro,0.5625,0.405
17,17,Acerto,0.5882,0.4357
18,18,Erro,0.5556,0.3968
19,19,Erro,0.5263,0.363
20,20,Acerto,0.55,0.3903
21,21,Acerto,0.5714,0.4156
22,22,Erro,0.5455,0.385
23,23,Acerto,0.5652,0.4082
24,24,Acerto,0.5833,0.4298
25,25,Erro,0.56,0.4021
26,26,Erro,0.5385,0.3769
27,27,Acerto,0.5556,0.3968
28,28,Acerto,0.5714,0.4156
29,29,Acerto,0.5862,0.4333
30,30,Erro,0.5667,0.4099
31,31,Erro,0.5484,0.3884
32,32,Erro,0.5312,0.3686
33,33,Acerto,0.5455,0.385
34,34,Acerto,0.5588,0.4007
35,35,Acerto,0.5714,0.4156
36,36,Acerto,0.5833,0.4298
37,37,Acerto,0.5946,0.4434
38,38,Acerto,0.6053,0.4564
39,39,Erro,0.5897,0.4376
40,40,Acerto,0.6,0.45
41,41,Acerto,0.6098,0.4619
42,42,Erro,0.5952,0.4442
43,43,Acerto,0.6047,0.4557
44,44,Erro,0.5909,0.439
45,45,Acerto,0.6,0.45
46,46,Erro,0.587,0.4342
47,47,Erro,0.5745,0.4192
48,48,Acerto,0.5833,0.4298
49,49,Acerto,0.5918,0.4401
50,50,Erro,0.58,0.4258
51,51,Acerto,0.5882,0.4357
52,52,Acerto,0.5962,0.4453
53,53,Erro,0.5849,0.4317
54,54,Acerto,0.5926,0.441
55,55,Acerto,0.6,0.45
56,56,Erro,0.5893,0.437
57,57,Erro,0.5789,0.4246
58,58,Acerto,0.5862,0.4333
59,59,Erro,0.5763,0.4214
60,60,Erro,0.5667,0.4099
61,61,Acerto,0.5738,0.4184
62,62,Erro,0.5645,0.4074
63,63,Acerto,0.5714,0.4156
64,64,Erro,0.5625,0.405
65,65,Erro,0.5538,0.3948
66,66,Erro,0.5455,0.385
67,67,Acerto,0.5522,0.3929
68,68,Acerto,0.5588,0.4007
69,69,Erro,0.5507,0.3912
70,70,Acerto,0.5571,0.3987
71,71,Acerto,0.5634,0.406
72,72,Acerto,0.5694,0.4132
73,73,Erro,0.5616,0.404
74,74,Erro,0.5541,0.3951
75,75,Acerto,0.56,0.4021
76,76,Acerto,0.5658,0.4089
77,77,Acerto,0.5714,0.4156
78,78,Acerto,0.5769,0.4221
79,79,Acerto,0.5823,0.4286
80,80,Acerto,0.5875,0.4348
81,81,Erro,0.5802,0.4261
82,82,Acerto,0.5854,0.4323
83,83,Acerto,0.5904,0.4383
84,84,Acerto,0.5952,0.4442
85,85,Acerto,0.6,0.45
86,86,Acerto,0.6047,0.4557
87,87,Erro,0.5977,0.4472
88,88,Acerto,0.6023,0.4528
89,89,Acerto,0.6067,0.4582
90,90,Acerto,0.6111,0.4636
91,91,Erro,0.6044,0.4554
92,92,Erro,0.5978,0.4474
93,93,Acerto,0.6022,0.4526
94,94,Acerto,0.6064,0.4578
95,95,Acerto,0.6105,0.4629
96,96,Acerto,0.6146,0.4679
97,97,Erro,0.6082,0.4601
98,98,Erro,0.602,0.4525
99,99,Erro,0.596,0.4451
100,100,Acerto,0.6,0.45
101,101,Erro,0.5941,0.4428
102,102,Erro,0.5882,0.4357
103,103,Acerto,0.5922,0.4406
104,104,Acerto,0.5962,0.4453
105,105,Acerto,0.6,0.45
106,106,Erro,0.5943,0.4431
107,107,Erro,0.5888,0.4364
108,108,Acerto,0.5926,0.441
109,109,Acerto,0.5963,0.4455
110,110,Acerto,0.6,0.45
111,111,Acerto,0.6036,0.4544
112,112,Erro,0.5982,0.4478
113,113,Acerto,0.6018,0.4522
114,114,Acerto,0.6053,0.4564
115,115,Acerto,0.6087,0.4606
116,116,Erro,0.6034,0.4542
117,117,Acerto,0.6068,0.4584
118,118,Acerto,0.6102,0.4624
119,119,Acerto,0.6134,0.4665
120,120,Acerto,0.6167,0.4704
121,121,Erro,0.6116,0.4642
122,122,Acerto,0.6148,0.4681
123,123,Acerto,0.6179,0.472
124,124,Erro,0.6129,0.4658
125,125,Acerto,0.616,0.4696
126,126,Acerto,0.619,0.4734
127,127,Erro,0.6142,0.4674
128,128,Acerto,0.6172,0.4711
129,129,Acerto,0.6202,0.4748
130,130,Acerto,0.6231,0.4784
131,131,Erro,0.6183,0.4725
132,132,Acerto,0.6212,0.4761
133,133,Acerto,0.6241,0.4796
134,134,Acerto,0.6269,0.4831
135,135,Acerto,0.6296,0.4865
136,136,Acerto,0.6324,0.4899
137,137,Acerto,0.635,0.4933
138,138,Erro,0.6304,0.4875
139,139,Erro,0.6259,0.4819
140,140,Acerto,0.6286,0.4852
141,141,Acerto,0.6312,0.4885
142,142,Acerto,0.6338,0.4917
143,143,Erro,0.6294,0.4862
144,144,Acerto,0.6319,0.4894
145,145,Acerto,0.6345,0.4926
146,146,Erro,0.6301,0.4872
147,147,Acerto,0.6327,0.4903
148,148,Erro,0.6284,0.485
149,149,Erro,0.6242,0.4797
150,150,Acerto,0.6267,0.4828
151,151,Acerto,0.6291,0.4859
152,152,Acerto,0.6316,0.489
153,153,Acerto,0.634,0.492
154,154,Acerto,0.6364,0.4949
155,155,Erro,0.6323,0.4898
156,156,Erro,0.6282,0.4848
157,157,Acerto,0.6306,0.4877
158,158,Acerto,0.6329,0.4906
159,159,Acerto,0.6352,0.4935
160,160,Acerto,0.6375,0.4964
161,161,Acerto,0.6398,0.4992
162,162,Acerto,0.642,0.502
163,163,Erro,0.638,0.497
164,164,Acerto,0.6402,0.4998
165,165,Acerto,0.6424,0.5026
166,166,Acerto,0.6446,0.5053
167,167,Acerto,0.6467,0.508
168,168,Acerto,0.6488,0.5106
169,169,Erro,0.645,0.5058
170,170,Erro,0.6412,0.501
171,171,Acerto,0.6433,0.5036
172,172,Erro,0.6395,0.4989
173,173,Acerto,0.6416,0.5015
174,174,Acerto,0.6437,0.5041
175,175,Erro,0.64,0.4995
176,176,Erro,0.6364,0.4949
177,177,Acerto,0.6384,0.4975
178,178,Acerto,0.6404,0.5001
179,179,Acerto,0.6425,0.5026
180,180,Erro,0.6389,0.4981
181,181,Acerto,0.6409,0.5006
182,182,Erro,0.6374,0.4962
183,183,Acerto,0.6393,0.4987
184,184,Acerto,0.6413,0.5012
185,185,Acerto,0.6432,0.5036
186,186,Acerto,0.6452,0.506
187,187,Erro,0.6417,0.5017
188,188,Erro,0.6383,0.4974
189,189,Acerto,0.6402,0.4998
190,190,Erro,0.6368,0.4955
191,191,Acerto,0.6387,0.4979
192,192,Erro,0.6354,0.4938
193,193,Acerto,0.6373,0.4961
194,194,Acerto,0.6392,0.4985
195,195,Erro,0.6359,0.4944
