Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Acerto,0.5
3,3,Acerto,0.6667
4,4,Erro,0.5
5,5,Acerto,0.6
6,6,Acerto,0.6667
7,7,Erro,0.5714
8,8,Erro,0.5
9,9,Acerto,0.5556
10,10,Erro,0.5
11,11,Erro,0.4545
12,12,Erro,0.4167
13,13,Erro,0.3846
14,14,Acerto,0.4286
15,15,Erro,0.4
16,16,Acerto,0.4375
17,17,Erro,0.4118
18,18,Acerto,0.4444
19,19,Erro,0.4211
20,20,Erro,0.4
21,21,Acerto,0.4286
22,22,Acerto,0.4545
23,23,Acerto,0.4783
24,24,Erro,0.4583
25,25,Erro,0.44
26,26,Erro,0.4231
27,27,Acerto,0.4444
28,28,Erro,0.4286
29,29,Erro,0.4138
30,30,Erro,0.4
31,31,Acerto,0.4194
32,32,Acerto,0.4375
33,33,Acerto,0.4545
34,34,Erro,0.4412
35,35,Erro,0.4286
36,36,Erro,0.4167
37,37,Acerto,0.4324
38,38,Erro,0.4211
39,39,Acerto,0.4359
40,40,Erro,0.425
41,41,Erro,0.4146
42,42,Erro,0.4048
43,43,Acerto,0.4186
44,44,Erro,0.4091
45,45,Erro,0.4
46,46,Erro,0.3913
47,47,Erro,0.383
48,48,Acerto,0.3958
49,49,Erro,0.3878
50,50,Erro,0.38
51,51,Acerto,0.3922
52,52,Acerto,0.4038
53,53,Acerto,0.4151
54,54,Erro,0.4074
55,55,Acerto,0.4182
56,56,Erro,0.4107
57,57,Acerto,0.4211
58,58,Acerto,0.431
59,59,Acerto,0.4407
60,60,Erro,0.4333
61,61,Erro,0.4262
62,62,Erro,0.4194
63,63,Erro,0.4127
64,64,Erro,0.4062
65,65,Acerto,0.4154
66,66,Erro,0.4091
67,67,Erro,0.403
68,68,Acerto,0.4118
69,69,Erro,0.4058
70,70,Erro,0.4
71,71,Acerto,0.4085
72,72,Acerto,0.4167
73,73,Acerto,0.4247
74,74,Erro,0.4189
75,75,Acerto,0.4267
76,76,Acerto,0.4342
77,77,Acerto,0.4416
78,78,Erro,0.4359
79,79,Acerto,0.443
80,80,Acerto,0.45
81,81,Erro,0.4444
82,82,Acerto,0.4512
83,83,Acerto,0.4578
84,84,Erro,0.4524
85,85,Erro,0.4471
86,86,Acerto,0.4535
87,87,Erro,0.4483
88,88,Acerto,0.4545
89,89,Acerto,0.4607
90,90,Erro,0.4556
91,91,Acerto,0.4615
92,92,Acerto,0.4674
93,93,Erro,0.4624
94,94,Acerto,0.4681
95,95,Erro,0.4632
96,96,Acerto,0.4688
97,97,Acerto,0.4742
98,98,Erro,0.4694
99,99,Erro,0.4646
100,100,Erro,0.46
101,101,Acerto,0.4653
102,102,Erro,0.4608
103,103,Erro,0.4563
104,104,Erro,0.4519
105,105,Erro,0.4476
106,106,Acerto,0.4528
107,107,Erro,0.4486
108,108,Erro,0.4444
109,109,Acerto,0.4495
110,110,Erro,0.4455
111,111,Erro,0.4414
