Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Erro,0.3333
4,4,Acerto,0.5
5,5,Erro,0.4
6,6,Erro,0.3333
7,7,Acerto,0.4286
8,8,Acerto,0.5
9,9,Erro,0.4444
10,10,Acerto,0.5
11,11,Acerto,0.5455
12,12,Acerto,0.5833
13,13,Acerto,0.6154
14,14,Erro,0.5714
15,15,Acerto,0.6
16,16,Erro,0.5625
17,17,Acerto,0.5882
18,18,Erro,0.5556
19,19,Acerto,0.5789
20,20,Acerto,0.6
21,21,Erro,0.5714
22,22,Erro,0.5455
23,23,Erro,0.5217
24,24,Acerto,0.5417
25,25,Acerto,0.56
26,26,Acerto,0.5769
27,27,Erro,0.5556
28,28,Acerto,0.5714
29,29,Acerto,0.5862
30,30,Acerto,0.6
31,31,Erro,0.5806
32,32,Erro,0.5625
33,33,Erro,0.5455
34,34,Acerto,0.5588
35,35,Acerto,0.5714
36,36,Acerto,0.5833
37,37,Erro,0.5676
38,38,Acerto,0.5789
39,39,Erro,0.5641
40,40,Acerto,0.575
41,41,Acerto,0.5854
42,42,Acerto,0.5952
43,43,Erro,0.5814
44,44,Acerto,0.5909
45,45,Acerto,0.6
46,46,Acerto,0.6087
47,47,Acerto,0.617
48,48,Erro,0.6042
49,49,Acerto,0.6122
50,50,Acerto,0.62
51,51,Erro,0.6078
52,52,Erro,0.5962
53,53,Erro,0.5849
54,54,Acerto,0.5926
55,55,Erro,0.5818
56,56,Acerto,0.5893
57,57,Erro,0.5789
58,58,Erro,0.569
59,59,Erro,0.5593
60,60,Acerto,0.5667
61,61,Acerto,0.5738
62,62,Acerto,0.5806
63,63,Acerto,0.5873
64,64,Acerto,0.5938
65,65,Erro,0.5846
66,66,Acerto,0.5909
67,67,Acerto,0.597
68,68,Erro,0.5882
69,69,Acerto,0.5942
70,70,Acerto,0.6
71,71,Erro,0.5915
72,72,Erro,0.5833
73,73,Erro,0.5753
74,74,Acerto,0.5811
75,75,Erro,0.5733
76,76,Erro,0.5658
77,77,Erro,0.5584
78,78,Acerto,0.5641
79,79,Erro,0.557
80,80,Erro,0.55
81,81,Acerto,0.5556
82,82,Erro,0.5488
83,83,Erro,0.5422
84,84,Acerto,0.5476
85,85,Acerto,0.5529
86,86,Erro,0.5465
87,87,Acerto,0.5517
88,88,Erro,0.5455
89,89,Erro,0.5393
90,90,Acerto,0.5444
91,91,Erro,0.5385
92,92,Erro,0.5326
93,93,Acerto,0.5376
94,94,Erro,0.5319
95,95,Acerto,0.5368
96,96,Erro,0.5312
97,97,Erro,0.5258
98,98,Acerto,0.5306
99,99,Acerto,0.5354
100,100,Acerto,0.54
101,101,Erro,0.5347
102,102,Acerto,0.5392
103,103,Acerto,0.5437
104,104,Acerto,0.5481
105,105,Acerto,0.5524
106,106,Erro,0.5472
107,107,Acerto,0.5514
108,108,Acerto,0.5556
109,109,Erro,0.5505
110,110,Acerto,0.5545
111,111,Acerto,0.5586
112,112,Acerto,0.5625
113,113,Erro,0.5575
114,114,Acerto,0.5614
115,115,Erro,0.5565
116,116,Erro,0.5517
117,117,Erro,0.547
118,118,Erro,0.5424
119,119,Acerto,0.5462
120,120,Erro,0.5417
121,121,Erro,0.5372
122,122,Acerto,0.541
123,123,Erro,0.5366
124,124,Erro,0.5323
125,125,Acerto,0.536
126,126,Acerto,0.5397
127,127,Acerto,0.5433
128,128,Acerto,0.5469
129,129,Erro,0.5426
130,130,Acerto,0.5462
131,131,Acerto,0.5496
132,132,Acerto,0.553
133,133,Acerto,0.5564
134,134,Erro,0.5522
135,135,Erro,0.5481
136,136,Acerto,0.5515
137,137,Acerto,0.5547
138,138,Erro,0.5507
139,139,Erro,0.5468
140,140,Erro,0.5429
141,141,Erro,0.539
142,142,Acerto,0.5423
143,143,Acerto,0.5455
144,144,Erro,0.5417
145,145,Acerto,0.5448
146,146,Acerto,0.5479
147,147,Erro,0.5442
148,148,Erro,0.5405
149,149,Erro,0.5369
150,150,Erro,0.5333
151,151,Erro,0.5298
152,152,Acerto,0.5329
153,153,Erro,0.5294
154,154,Erro,0.526
155,155,Acerto,0.529
156,156,Erro,0.5256
157,157,Erro,0.5223
158,158,Acerto,0.5253
159,159,Erro,0.522
160,160,Acerto,0.525
161,161,Acerto,0.528
162,162,Acerto,0.5309
163,163,Erro,0.5276
164,164,Acerto,0.5305
165,165,Acerto,0.5333
166,166,Acerto,0.5361
167,167,Acerto,0.5389
168,168,Erro,0.5357
169,169,Erro,0.5325
170,170,Acerto,0.5353
171,171,Acerto,0.538
172,172,Erro,0.5349
173,173,Erro,0.5318
174,174,Acerto,0.5345
175,175,Acerto,0.5371
176,176,Acerto,0.5398
177,177,Erro,0.5367
178,178,Acerto,0.5393
179,179,Erro,0.5363
180,180,Acerto,0.5389
181,181,Erro,0.5359
182,182,Acerto,0.5385
183,183,Acerto,0.541
184,184,Acerto,0.5435
185,185,Acerto,0.5459
186,186,Erro,0.543
187,187,Erro,0.5401
188,188,Erro,0.5372
189,189,Acerto,0.5397
190,190,Erro,0.5368
191,191,Erro,0.534
