Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Erro,0.0
3,3,Erro,0.0
4,4,Acerto,0.25
5,5,Erro,0.2
6,6,Erro,0.1667
7,7,Erro,0.1429
8,8,Erro,0.125
9,9,Acerto,0.2222
10,10,Acerto,0.3
11,11,Acerto,0.3636
12,12,Acerto,0.4167
13,13,Erro,0.3846
14,14,Acerto,0.4286
15,15,Erro,0.4
16,16,Acerto,0.4375
17,17,Erro,0.4118
18,18,Acerto,0.4444
19,19,Erro,0.4211
20,20,Acerto,0.45
21,21,Acerto,0.4762
22,22,Erro,0.4545
23,23,Acerto,0.4783
24,24,Erro,0.4583
25,25,Erro,0.44
26,26,Acerto,0.4615
27,27,Erro,0.4444
28,28,Erro,0.4286
29,29,Acerto,0.4483
30,30,Acerto,0.4667
31,31,Acerto,0.4839
32,32,Acerto,0.5
33,33,Acerto,0.5152
34,34,Acerto,0.5294
35,35,Acerto,0.5429
36,36,Erro,0.5278
37,37,Acerto,0.5405
38,38,Acerto,0.5526
39,39,Acerto,0.5641
40,40,Acerto,0.575
41,41,Acerto,0.5854
42,42,Erro,0.5714
43,43,Erro,0.5581
44,44,Acerto,0.5682
45,45,Acerto,0.5778
46,46,Erro,0.5652
47,47,Erro,0.5532
48,48,Erro,0.5417
49,49,Erro,0.5306
50,50,Acerto,0.54
51,51,Acerto,0.549
52,52,Acerto,0.5577
53,53,Acerto,0.566
54,54,Erro,0.5556
55,55,Acerto,0.5636
56,56,Acerto,0.5714
57,57,Erro,0.5614
58,58,Acerto,0.569
59,59,Erro,0.5593
60,60,Erro,0.55
61,61,Acerto,0.5574
62,62,Erro,0.5484
63,63,Acerto,0.5556
64,64,Erro,0.5469
65,65,Acerto,0.5538
66,66,Acerto,0.5606
67,67,Acerto,0.5672
68,68,Acerto,0.5735
69,69,Acerto,0.5797
70,70,Erro,0.5714
71,71,Acerto,0.5775
72,72,Acerto,0.5833
73,73,Acerto,0.589
74,74,Acerto,0.5946
75,75,Erro,0.5867
76,76,Acerto,0.5921
77,77,Acerto,0.5974
78,78,Erro,0.5897
79,79,Acerto,0.5949
80,80,Acerto,0.6
81,81,Erro,0.5926
82,82,Acerto,0.5976
83,83,Erro,0.5904
84,84,Erro,0.5833
85,85,Acerto,0.5882
86,86,Acerto,0.593
87,87,Acerto,0.5977
88,88,Acerto,0.6023
89,89,Acerto,0.6067
90,90,Acerto,0.6111
91,91,Acerto,0.6154
92,92,Erro,0.6087
93,93,Erro,0.6022
94,94,Erro,0.5957
95,95,Erro,0.5895
96,96,Erro,0.5833
97,97,Acerto,0.5876
98,98,Acerto,0.5918
99,99,Acerto,0.596
100,100,Acerto,0.6
101,101,Acerto,0.604
102,102,Erro,0.598
103,103,Erro,0.5922
104,104,Acerto,0.5962
105,105,Acerto,0.6
106,106,Erro,0.5943
107,107,Acerto,0.5981
108,108,Acerto,0.6019
109,109,Acerto,0.6055
110,110,Erro,0.6
111,111,Acerto,0.6036
112,112,Acerto,0.6071
113,113,Acerto,0.6106
114,114,Erro,0.6053
115,115,Acerto,0.6087
116,116,Erro,0.6034
