Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Erro,0.0
3,3,Acerto,0.3333
4,4,Erro,0.25
5,5,Erro,0.2
6,6,Erro,0.1667
7,7,Erro,0.1429
8,8,Erro,0.125
9,9,Erro,0.1111
10,10,Erro,0.1
11,11,Acerto,0.1818
12,12,Erro,0.1667
13,13,Erro,0.1538
14,14,Acerto,0.2143
15,15,Erro,0.2
16,16,Erro,0.1875
17,17,Acerto,0.2353
18,18,Erro,0.2222
19,19,Acerto,0.2632
20,20,Acerto,0.3
21,21,Erro,0.2857
22,22,Erro,0.2727
23,23,Acerto,0.3043
24,24,Erro,0.2917
25,25,Erro,0.28
26,26,Erro,0.2692
27,27,Acerto,0.2963
28,28,Erro,0.2857
29,29,Acerto,0.3103
30,30,Erro,0.3
31,31,Erro,0.2903
32,32,Erro,0.2812
33,33,Acerto,0.303
34,34,Acerto,0.3235
35,35,Acerto,0.3429
36,36,Acerto,0.3611
37,37,Erro,0.3514
38,38,Acerto,0.3684
39,39,Acerto,0.3846
40,40,Acerto,0.4
41,41,Erro,0.3902
42,42,Erro,0.381
43,43,Erro,0.3721
44,44,Acerto,0.3864
45,45,Erro,0.3778
46,46,Erro,0.3696
47,47,Erro,0.3617
48,48,Acerto,0.375
49,49,Erro,0.3673
50,50,Erro,0.36
51,51,Acerto,0.3725
52,52,Acerto,0.3846
53,53,Erro,0.3774
54,54,Erro,0.3704
55,55,Acerto,0.3818
56,56,Erro,0.375
57,57,Acerto,0.386
58,58,Acerto,0.3966
59,59,Acerto,0.4068
60,60,Acerto,0.4167
61,61,Acerto,0.4262
62,62,Acerto,0.4355
63,63,Erro,0.4286
64,64,Acerto,0.4375
65,65,Acerto,0.4462
66,66,Acerto,0.4545
67,67,Acerto,0.4627
68,68,Acerto,0.4706
69,69,Erro,0.4638
70,70,Erro,0.4571
71,71,Acerto,0.4648
72,72,Acerto,0.4722
73,73,Acerto,0.4795
74,74,Erro,0.473
75,75,Acerto,0.48
76,76,Acerto,0.4868
77,77,Erro,0.4805
78,78,Acerto,0.4872
79,79,Acerto,0.4937
80,80,Erro,0.4875
81,81,Acerto,0.4938
82,82,Acerto,0.5
83,83,Erro,0.494
84,84,Acerto,0.5
85,85,Acerto,0.5059
86,86,Acerto,0.5116
87,87,Erro,0.5057
88,88,Acerto,0.5114
89,89,Acerto,0.5169
90,90,Acerto,0.5222
91,91,Acerto,0.5275
92,92,Acerto,0.5326
93,93,Erro,0.5269
94,94,Acerto,0.5319
95,95,Erro,0.5263
96,96,Acerto,0.5312
97,97,Erro,0.5258
98,98,Acerto,0.5306
99,99,Acerto,0.5354
100,100,Acerto,0.54
101,101,Acerto,0.5446
102,102,Acerto,0.549
103,103,Acerto,0.5534
104,104,Acerto,0.5577
105,105,Acerto,0.5619
106,106,Erro,0.5566
107,107,Erro,0.5514
108,108,Acerto,0.5556
109,109,Acerto,0.5596
110,110,Acerto,0.5636
111,111,Erro,0.5586
112,112,Acerto,0.5625
113,113,Acerto,0.5664
114,114,Acerto,0.5702
115,115,Acerto,0.5739
116,116,Acerto,0.5776
