placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
91,109,2009-01-30,2,1,2008-2009,Coop/São José Basketball,Joinville,0,73.0,21.0,32.0,20.0,35.0,7.0,28.0,12.0,12.0,1.0,7.0,26.0,26.92,16.0,34.0,47.06,20.0,27.0,74.07,0.0,6.0,0.5,4.0,19.0,0.21,12.0,0.0,74.0,88.0,30.0,42.0,16.0,25.0,7.0,18.0,21.0,15.0,1.4,10.0,26.0,38.46,21.0,43.0,48.84,16.0,23.0,69.57,1.0,9.0,0.6,2.0,26.0,0.08,15.0,0.0,85.0
75,72,2009-01-30,2,1,2008-2009,Limeira,Lajeado,1,93.0,42.0,36.0,15.0,32.0,7.0,25.0,19.0,24.0,0.79,14.0,39.0,35.9,18.0,29.0,62.07,15.0,18.0,83.33,1.0,5.0,0.21,5.0,23.0,0.22,24.0,0.0,91.0,68.0,21.0,32.0,15.0,34.0,9.0,25.0,10.0,25.0,0.4,7.0,32.0,21.88,16.0,37.0,43.24,15.0,19.0,78.95,1.0,11.0,0.44,2.0,23.0,0.09,25.0,0.0,50.0
84,72,2009-01-30,2,1,2008-2009,Saldanha,Araraquara,1,79.0,24.0,44.0,11.0,32.0,8.0,24.0,2.0,17.0,0.12,8.0,22.0,36.36,22.0,37.0,59.46,11.0,15.0,73.33,4.0,6.0,0.35,3.0,17.0,0.18,17.0,0.0,72.0,56.0,6.0,42.0,8.0,25.0,5.0,20.0,9.0,19.0,0.47,2.0,23.0,8.7,21.0,44.0,47.73,8.0,15.0,53.33,0.0,13.0,0.68,2.0,21.0,0.1,19.0,0.0,35.0
74,83,2009-01-31,2,1,2008-2009,Espírito Santo,Sesi Franca,0,77.0,12.0,58.0,7.0,31.0,7.0,24.0,19.0,11.0,1.73,4.0,17.0,23.53,29.0,47.0,61.7,7.0,18.0,38.89,0.0,12.0,1.09,2.0,18.0,0.11,11.0,0.0,88.0,80.0,24.0,40.0,16.0,21.0,3.0,18.0,5.0,12.0,0.42,8.0,26.0,30.77,20.0,33.0,60.61,16.0,28.0,57.14,2.0,9.0,0.75,4.0,10.0,0.4,12.0,0.0,64.0
82,65,2009-02-03,3,1,2008-2009,Pinheiros,Paulistano,1,84.5,24.0,39.0,21.5,35.0,9.5,25.5,16.0,16.0,1.015,8.0,23.5,33.635,19.5,36.0,53.06999999999999,21.5,26.5,81.68,3.0,6.0,0.39,2.5,18.0,0.14,16.0,0.0,91.0,84.5,25.5,42.0,17.0,28.5,10.5,18.0,21.0,19.0,1.105,8.5,21.0,40.474999999999994,21.0,35.5,59.605000000000004,17.0,24.5,68.435,1.5,6.5,0.345,2.5,22.0,0.115,19.0,0.0,89.5
83,73,2009-02-03,3,1,2008-2009,Coop/São José Basketball,Limeira,1,82.0,25.5,34.0,22.5,30.0,8.5,21.5,13.5,12.0,1.125,8.5,29.5,28.61,17.0,33.5,50.805,22.5,30.0,74.91499999999999,0.0,6.5,0.54,4.0,22.5,0.18,12.0,0.0,79.0,84.0,33.0,33.0,18.0,29.5,6.0,23.5,16.0,21.5,0.7350000000000001,11.0,32.0,33.95,16.5,28.5,57.82,18.0,21.0,85.41499999999999,1.0,4.5,0.21,4.5,22.5,0.2,21.5,0.0,81.0
63,74,2009-02-03,3,1,2008-2009,Saldanha,Espírito Santo,0,81.5,25.5,38.0,18.0,31.0,6.5,24.5,6.5,18.0,0.35,8.5,21.5,39.61,19.0,33.0,57.315,18.0,25.5,71.38499999999999,4.5,9.0,0.49,4.0,19.5,0.20500000000000002,18.0,0.0,79.5,75.5,16.5,51.0,8.0,31.5,7.0,24.5,14.5,10.5,1.365,5.5,21.5,25.225,25.5,44.5,57.040000000000006,8.0,16.5,49.445,0.5,9.5,0.895,2.0,22.0,0.095,10.5,0.0,79.0
82,87,2009-02-03,3,1,2008-2009,Araraquara,Sesi Franca,0,64.0,18.0,34.0,12.0,25.5,6.0,19.5,7.0,19.0,0.365,6.0,26.0,21.589999999999996,17.0,35.5,47.94,12.0,21.5,55.235,0.5,11.5,0.605,2.5,23.5,0.11,19.0,0.0,43.5,81.5,19.5,43.0,19.0,29.0,6.5,22.5,11.0,12.0,0.9199999999999999,6.5,21.5,30.09,21.5,37.0,58.355000000000004,19.0,28.0,67.85499999999999,1.0,8.0,0.665,2.0,11.0,0.2,12.0,0.0,80.0
78,56,2009-02-03,3,1,2008-2009,Joinville,Lajeado,1,98.5,37.5,43.0,18.0,27.5,8.5,19.0,21.5,17.0,1.2799999999999998,12.5,27.5,45.09,21.5,38.5,56.775,18.0,24.0,74.785,0.5,6.0,0.38,2.5,26.0,0.1,17.0,0.0,101.0,70.0,15.0,35.0,20.0,36.0,11.5,24.5,12.5,21.0,0.64,5.0,26.5,18.085,17.5,39.5,44.24,20.0,28.0,73.25999999999999,0.5,8.5,0.395,1.5,24.0,0.065,21.0,0.0,56.0
85,102,2009-02-03,3,1,2008-2009,Minas,Flamengo,0,78.5,19.5,46.0,13.0,30.5,8.5,22.0,20.0,14.0,1.4449999999999998,6.5,19.5,33.730000000000004,23.0,43.5,52.965,13.0,21.5,60.879999999999995,0.5,7.0,0.49,0.5,23.0,0.02,14.0,0.0,80.5,93.0,39.0,40.0,14.0,27.5,13.0,14.5,16.0,13.5,1.25,13.0,28.5,46.28,20.0,40.0,49.905,14.0,18.0,76.19,2.5,8.5,0.72,1.5,22.0,0.065,13.5,0.0,93.5
