placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
83,71,2024-10-15,2,1,2024-2025,UNIFACISA,União Corinthians,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,68,2024-10-15,2,1,2024-2025,São José Basketball,Vasco da Gama,0,70.0,18.0,36.0,16.0,37.0,7.0,30.0,14.0,11.0,1.27,6.0,25.0,24.0,18.0,39.0,46.15,16.0,22.0,72.73,3.0,9.0,0.82,4.0,19.0,0.21,11.0,1.0,77.0,50.0,18.0,18.0,14.0,35.0,8.0,27.0,14.0,14.0,1.0,6.0,30.0,20.0,9.0,26.0,34.62,14.0,25.0,56.0,1.0,4.0,0.29,1.0,23.0,0.04,14.0,3.0,38.0
82,76,2024-10-15,2,1,2024-2025,Sesi Franca,Minas,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,18.0,40.0,16.0,48.0,10.0,38.0,16.0,22.0,0.73,6.0,17.0,35.29,20.0,39.0,51.28,16.0,20.0,80.0,3.0,5.0,0.23,6.0,20.0,0.3,22.0,5.0,93.0
63,71,2024-10-17,2,1,2024-2025,São José Basketball,Flamengo,0,65.5,15.75,33.5,16.25,35.5,8.0,27.5,15.0,13.75,1.12,5.25,21.75,24.16,16.75,37.75,44.31,16.25,21.5,75.65,2.75,8.5,0.6499999999999999,3.25,19.25,0.16999999999999998,13.75,1.75,71.25,59.0,24.0,24.0,11.0,52.0,15.0,37.0,15.0,16.0,0.94,8.0,31.0,25.81,12.0,29.0,41.38,11.0,21.0,52.38,4.0,7.0,0.44,4.0,25.0,0.16,16.0,5.0,71.0
81,82,2024-10-17,2,1,2024-2025,Bauru Basket,Minas,0,87.0,21.0,42.0,24.0,46.5,16.0,30.5,18.0,10.0,1.8,7.0,31.5,22.22,21.0,42.5,49.41,24.0,31.0,77.42,1.0,7.5,0.75,2.0,26.0,0.08,10.0,1.5,98.0,76.5,18.75,41.0,16.75,45.25,10.5,34.75,16.25,18.5,0.915,6.25,20.5,31.185,20.5,40.5,50.64,16.75,23.0,73.655,1.5,5.75,0.33,4.5,20.5,0.22,18.5,4.25,89.25
81,88,2024-10-17,2,1,2024-2025,Pato Basquete,São Paulo,0,76.0,32.25,31.5,12.25,33.75,7.0,26.75,15.25,10.25,1.4700000000000002,10.75,27.75,38.95,15.75,31.75,48.519999999999996,12.25,15.75,78.57,0.0,3.75,0.36,4.0,21.25,0.195,10.25,1.75,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,74,2024-10-17,2,1,2024-2025,Sesi Franca,Brasília Basquete,1,80.5,22.5,47.0,11.0,35.0,7.5,27.5,14.5,9.5,1.53,7.5,22.5,33.33,23.5,41.0,57.32,11.0,16.0,68.75,3.5,7.0,0.74,2.5,17.0,0.15,9.5,1.0,92.5,74.25,36.0,24.0,14.25,32.75,8.0,24.75,17.75,12.75,1.3900000000000001,12.0,34.25,34.959999999999994,12.0,29.5,41.265,14.25,20.0,71.25,1.0,7.0,0.545,1.25,20.5,0.065,12.75,3.25,74.75
66,65,2024-10-17,2,1,2024-2025,Mogi Basquete,Vasco da Gama,1,69.66499999999999,21.5,40.0,8.165,33.335,8.665,24.665,15.5,14.0,1.1099999999999999,7.165,23.165,30.825,20.0,39.835,50.17,8.165,13.665,58.695,1.665,9.665,0.7050000000000001,1.165,19.835,0.06,14.0,2.0,74.0,58.25,23.25,19.0,16.0,36.25,10.25,26.0,16.25,14.0,1.1600000000000001,7.75,30.0,25.835,9.5,25.75,36.92,16.0,24.5,65.5,1.25,6.5,0.46499999999999997,1.0,22.75,0.04,14.0,2.75,57.25
63,81,2024-10-18,2,1,2024-2025,UNIFACISA,Caxias do Sul Basquete,0,73.0,21.0,38.0,14.0,32.5,10.5,22.0,13.5,13.5,1.0,7.0,30.0,23.33,19.0,31.5,60.32,14.0,19.5,71.79,3.0,9.0,0.67,4.0,19.5,0.21,13.5,2.0,77.5,74.5,30.0,35.0,9.5,37.0,9.0,28.0,16.5,14.0,1.18,10.0,25.5,39.22,17.5,36.5,47.95,9.5,13.5,70.37,0.0,3.0,0.21,0.5,22.5,0.02,14.0,3.5,79.0
70,79,2024-10-18,2,1,2024-2025,Fortaleza Basquete Cearense,União Corinthians,0,73.0,21.0,40.0,12.0,39.5,10.0,29.5,13.0,15.5,0.84,7.0,25.5,27.45,20.0,35.0,57.14,12.0,19.0,63.16,1.0,7.5,0.48,1.5,18.0,0.08,15.5,3.5,78.5,75.0,21.0,41.0,13.0,35.0,12.5,22.5,15.0,18.0,0.83,7.0,21.5,32.56,20.5,41.5,49.4,13.0,18.0,72.22,0.0,9.5,0.53,0.0,18.0,0.0,18.0,3.5,76.0
